Y,Treatment,covariance_A,covariance_B,covariance_C
17.604124017082746,1,34.861173029468674,10.02693595937747,13.174988622455786
72.32513877444711,0,99.33142879001852,92.16869846532433,28.29115375655913
34.02049262775846,0,2.254340987633918,44.77256811961146,77.17581541811849
46.85855906736724,0,64.6621985931435,35.38267289551187,66.53415165609722
55.704892498981216,1,84.52540501456559,55.06937510749972,39.097604758058246
12.962207562622456,1,18.758479391358897,12.837146025834457,8.49902667440502
63.019321020868205,0,99.33565803771461,64.81201445197362,36.469089143821876
9.434561527087913,0,17.51161834376048,4.176386530035736,12.552607059727372
58.44025680966671,0,3.391728830673646,94.89808197324977,97.31752685582347
61.43865623518474,0,63.23366999573435,94.11309264813809,24.116590886045973
43.81150716474605,0,43.81459427163219,55.43711214615836,42.4614201239652
40.603057737090566,0,85.97826393651688,34.7825452944428,4.48280219179188
51.39542355472715,0,71.57873609446122,73.51378357174892,2.581446488446104
23.33570153127825,0,8.96998211387322,36.53337670553082,30.156781074519767
44.07847505285155,1,40.67911861457022,63.39220520880614,30.089286924790137
39.833254479675254,0,15.183099898760677,44.83293997734192,86.72574259555141
63.54519436484844,1,87.00532354624582,57.275413939294936,70.1671586262836
34.8302531870425,1,65.24690982993334,26.99773584871139,19.785429492889715
46.19216614320083,0,63.85326995114477,60.55535780485653,14.07021017957394
60.615922826243036,0,72.5411240605763,79.06337170316749,36.141184634015744
69.89764762259074,0,92.71089188545992,70.55820022992,69.30549982492383
57.50917411610984,0,70.11793502454728,73.44640925660528,35.47614953051773
55.726092387907535,0,82.77723340868319,48.44117920715988,57.58225341219312
64.37715138067938,1,68.95037850859828,81.57666609823687,52.806856944025725
43.4850373819669,1,77.03591798931238,38.844185103226415,21.682939719413096
47.6468308361312,1,66.62221803077834,50.884195530176555,34.03243607413534
62.36440984911254,1,83.59567100196197,65.75839980330548,52.41174313600876
43.114193200578036,0,43.59768577749129,73.2522974957422,3.669842345168839
55.21009370901104,0,17.212068193334417,86.20902208084908,77.81432209335541
64.26774177484849,1,97.8601494189297,44.47891733799091,83.09065006986607
57.07603766204156,0,92.47592600233594,36.976230266926,72.7138387728519
34.437395169568454,1,73.93630601921339,10.96473648636831,36.85304384628556
38.247861947526935,0,35.92226319567041,33.893434946155764,69.56904505181754
66.32904002378369,0,88.02701410308815,60.07154847633412,79.461582011618
28.882639896523933,0,7.258544630737617,36.847067721537954,59.831247093437334
70.19893601274279,0,86.18696237881106,83.70632537402511,54.301585747447156
19.460914983351266,0,37.79541675766984,0.9133953662858629,38.784659047679845
13.310002198108702,1,23.04280486319016,2.6531157338719358,24.1795722280144
58.6680460522465,0,14.741082718015875,89.48118461316295,92.26623695788277
31.801839378716995,0,0.1632975958282934,65.40017555727613,27.96389938529027
54.13677216903958,0,87.7636153917407,20.770430663474237,97.49757643063836
