Y,T,confonder
27.787987637959862,66.1840225912369,4.381262004883668
62.493029654897185,83.04158391690868,97.58798696044573
46.6192722997217,75.13540557948266,55.21703355976212
56.7220012855423,111.09694034536649,40.94408382465233
49.32420203928349,63.90798169572231,79.20336453664854
59.943063267143025,90.21546295437392,79.52292695131152
27.545208792181533,49.484857347384036,25.83755284409306
21.31829601296061,16.03335023700812,49.68318639385788
35.812720125196456,63.366630108844404,34.88689360552898
48.60500759582143,104.60256668409824,22.54660307394043
23.041122137923523,31.085276956515834,35.35670451772397
31.699019143094986,53.22276538228026,34.69970996727627
66.85692118191372,107.85643900437397,79.04781860054709
41.48478647348756,94.95491258459701,11.676071465495852
46.982892235428,61.25282628390623,74.93920573955167
66.16018952383705,113.0769216883396,69.7647361616707
7.168928110393509,9.579732557704585,11.123450291038917
37.451831474176096,29.00500147576248,86.16610294623702
30.95195118267469,47.736486669080975,39.52452171680767
25.448511391295934,58.733257096019805,6.517361842960034
52.608311381276266,103.37649747697844,37.52570796828296
61.08557255268137,84.47043432274253,90.99132941194785
14.09616844685165,25.239726696273554,13.334259227807422
14.225874535969158,26.03851989105279,12.701555265160136
50.576026268498374,56.47538195453846,93.28624495560996
50.36525859396565,75.12519629043518,67.71726692597193
41.089203509463175,86.9133789157584,21.079506477199384
47.232547579040414,47.305305282264385,94.36808488711553
44.86527894449406,50.384401211174364,82.37172820008104
42.55642291451375,37.220578693635474,92.22730479019854
66.12333561370804,107.80595716790344,76.66984248848885
56.45746404574699,79.85277376530601,81.7211817987486
27.371847748944283,31.82035173160874,48.81235685433596
47.936549067117035,97.07192413966943,30.35926470416421
50.96116368924183,61.58648009888325,87.7552388322951
54.22389143510207,65.0635718040705,93.99487571157955
20.83915042073069,45.476913576605156,8.82794996696209
21.04423699580022,33.43084899564341,25.572991325142848
27.50521418170152,47.67355295884377,28.119309993880027
28.277498896349712,60.865874799440995,13.103829921911036
12.748784552952664,26.52842076459547,7.124720823714914
36.28233456530507,71.1917367734642,26.018799519731296
18.454053738024534,33.82758573617379,16.410064811850056
25.09288995516247,51.392502587218814,15.119629734249806
52.13399859539949,84.97624889006688,60.478330131242465
54.52951697662192,81.23750270299305,73.44838631808234
23.581386601146214,46.57150069460741,16.50928774434417
28.248763886521687,37.073330314661064,44.73143920219087
39.88498324652859,73.69392205820334,34.691381410824185
66.77056589316956,105.8955932348616,81.3744286640831
23.59677206659866,18.734142356792923,53.6770504129383
45.36274032300969,81.29382050434064,42.81737373757808
59.76202502865331,100.25181091857297,65.53766887074707
59.06760256977139,112.34197518479448,47.10270831951199
34.13278540328844,48.061489156124885,49.693965802794935
36.71949249981304,63.14593773984648,38.203724679581505
3.2293970329152932,5.699631139780472,3.165148590010347
42.680283033090575,81.59047334870728,33.48031231202554
54.44121049699923,94.01971050052231,56.11108765596771
23.01503681860101,18.160715140289426,52.50250254161747
36.65043776117743,66.13075480342413,33.99378613269259
31.611414393163287,40.67714853272685,51.13518326690849
62.68370633880241,99.14380258308975,76.75395101855504
23.868041357008888,41.82451900439342,23.794112517505063
48.56483163484225,76.55273458881133,59.81245933105905
63.79569317634083,116.82285693347372,56.888501343171136
49.90230066978881,81.70390868896487,57.40245731400952
58.56001475621457,85.97334055195275,80.56892845144493
44.68998649384659,68.55453410650165,57.56057617081978
26.05276354271538,52.83804999957953,16.391811809611877
22.79758160271774,51.71549494879334,7.037945410668012
43.943276957685285,101.37675734851531,11.308580060930517
